timestamp,nombre,descripcion,formato,localpath
2025-09-25T21:30:50.607494,digital_image.png,Imagen digital (backup),png,backup\backup_digital_image.png
2025-09-25T21:30:50.607494,canon_eos.jpg,Imagen Canon (backup),jpg,backup\backup_canon_eos.jpg
